wav_path,start,label
examples/wavs/tester.wav,14.822,neg
examples/wavs/tester.wav,15.088,neg
examples/wavs/tester.wav,8.099,pos
examples/wavs/tester.wav,8.242,neg
examples/wavs/tester.wav,5.356,neg
examples/wavs/tester.wav,9.925,neg
examples/wavs/tester.wav,11.275,neg
examples/wavs/tester.wav,4.378,neg
examples/wavs/tester.wav,4.082,neg
examples/wavs/tester.wav,11.271,neg
examples/wavs/tester.wav,4.098,neg
examples/wavs/tester.wav,8.226,neg
examples/wavs/tester.wav,18.195,neg
examples/wavs/tester.wav,18.338,pos
examples/wavs/tester.wav,14.962,pos
examples/wavs/tester.wav,18.485,neg
examples/wavs/tester.wav,16.315,neg
examples/wavs/tester.wav,11.416,pos
examples/wavs/tester.wav,9.615,neg
examples/wavs/tester.wav,18.189,neg
examples/wavs/tester.wav,15.098,neg
examples/wavs/tester.wav,11.288,neg
examples/wavs/tester.wav,4.229,pos
examples/wavs/tester.wav,7.968,neg
